page,block_type,character,text,explicit_tone,scene
23,DIALOGUE,FARHAN,gSYyks gk¡A,,INT. AIRPLANE DAY
23,DIALOGUE,FARHAN,"up, looking disturbed. He tries to catch the",,INT. AIRPLANE DAY
23,DIALOGUE,FARHAN,attention of the Air hostess.,,INT. AIRPLANE DAY
23,DIALOGUE,FARHAN,discomfort as the plane takes off.,,INT. AIRPLANE DAY
24,DIALOGUE,AIR HOSTESS,"and falls in the aisle, unconscious.",,INT. AIRPLANE DAY
24,DIALOGUE,AIR HOSTESS,aisle.,into the phone,INT. AIRPLANE DAY
24,DIALOGUE,CAPTAIN,medical emergency.,,INT. COCKPIT CONTINUOUS
24,DIALOGUE,AIR HOSTESS,me Sir.,,INT. AIRPLANE CONTINUOUS
24,DIALOGUE,LATER,are taking an unconscious Farhan on a,,INT. TERMINAL MOMENTS
25,DIALOGUE,LATER,wheelchair through the terminal. As they,,INT. TERMINAL MOMENTS
25,DIALOGUE,LATER,"approach the exit, Farhan opens his eyes,",,INT. TERMINAL MOMENTS
25,DIALOGUE,LATER,"looks around furtively, and jumps out of",,INT. TERMINAL MOMENTS
25,DIALOGUE,LATER,the wheelchair.,,INT. TERMINAL MOMENTS
25,DIALOGUE,FARHAN,",d feuV!",,INT. TERMINAL MOMENTS
25,DIALOGUE,FARHAN,and concerned.,,INT. TERMINAL MOMENTS
25,DIALOGUE,FARHAN,"ughaa eSa fcYdqy Bhd gw¡A FkSaD;wA vki yksx tk,]",,INT. TERMINAL MOMENTS
25,DIALOGUE,FARHAN,"vki yksx tk,A eSa pyk tkÅaxkA",,INT. TERMINAL MOMENTS
25,DIALOGUE,FARHAN,after him.,,INT. TERMINAL MOMENTS
25,DIALOGUE,MEDICAL STAFF,"terminal, slowing down only once he nears",,INT. TERMINAL MOMENTS
25,DIALOGUE,MEDICAL STAFF,the exit.,,INT. TERMINAL MOMENTS
25,DIALOGUE,FARHAN,xkM+h fudkyks ;kjA,,EXT. AIRPORT CONTINUOUS
26,DIALOGUE,DRIVER,rqLlh fe- f<Yyksa\,,EXT. AIRPORT CONTINUOUS
26,DIALOGUE,FARHAN,fudkyks ;kj xkM+hA,,EXT. AIRPORT CONTINUOUS
26,DIALOGUE,FARHAN,fast man!,,EXT. AIRPORT CONTINUOUS
26,DIALOGUE,MOMENTS LATER,a number.,,INT. CAB EXT. DELHI ROADS
26,DIALOGUE,DRIVER,gksVy tk;saxs uk lj\,,INT. CAB EXT. DELHI ROADS
26,DIALOGUE,FARHAN,gk¡ gk¡ gksVy tk;saxs] ysfdu olar fogkj gksds A,,INT. CAB EXT. DELHI ROADS
26,DIALOGUE,FARHAN,ogk¡ ys yksA,,INT. CAB EXT. DELHI ROADS
26,DIALOGUE,FARHAN,"vjs ,s Dls yjs s Vj is Fkks M+ k yks M ns dkds\",impatiently,INT. CAB EXT. DELHI ROADS
26,DIALOGUE,CAB DAY,"bedside table, illuminates with Farhan’s",,INT. RAJU’S NEW HOUSE
26,DIALOGUE,CAB DAY,call. Raju (30s) peeps out from under,,INT. RAJU’S NEW HOUSE
26,DIALOGUE,CAB DAY,"the bedsheet, grabs the phone, looks at",,INT. RAJU’S NEW HOUSE
26,DIALOGUE,CAB DAY,it and answers it.,,INT. RAJU’S NEW HOUSE
26,DIALOGUE,CAB DAY,jktw,,INT. RAJU’S NEW HOUSE
26,DIALOGUE,RAJU,g¡k Qjgku cksyA,,INT. RAJU’S NEW HOUSE
26,DIALOGUE,FARHAN,rw tYnh ckgj vkA eSa ik¡p feuV esa rsjs ;g¡k,,INT. RAJU’S NEW HOUSE
26,DIALOGUE,FARHAN,igq¡p jgk gw¡A,,INT. RAJU’S NEW HOUSE
26,DIALOGUE,FARHAN,minutes.,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,FARHAN,jktw,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,FARHAN,prqj dk Qksu FkkA fjesEcj fge\,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,FARHAN,jktw,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,RAJU,dkSu lkbysUlj\,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,FARHAN,gk¡ oksgh oksghA cksy jgk gS fd jSUpks vk,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,FARHAN,jgk gSA,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,FARHAN,"the balcony, outside the room, his wife,",,INT. RAJU’S NEW HOUSE
27,DIALOGUE,FARHAN,jktw,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,FARHAN,gk¡] cksyk fd vxj jSUpks ls feyuk gS rks Bhd,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,FARHAN,vkB cts dSEil vk tk] Vadh isA,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,FARHAN,to the campus at On the tank.,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,FARHAN,vjs rw tYnh ckgj vk uk ;kjA,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,FARHAN,jktw,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,RAJU,gk¡ Bhd Bhd gS] vksdsA,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,RAJU,toothpaste and rushes back into the room.,,INT. RAJU’S NEW HOUSE
27,DIALOGUE,RAJU,throws on a kurta.,,INT. RAJU’S NEW HOUSE
